"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"classe 1";-0,505703386714711;1,3804644047894;1,14456847417241;-0,271418908491789;0,74091681369554;0,61430778222026;0,112007026512587;0,56904051130735;0,318952462180063;0,0571929991872972;0,426188348961934;0,292977795178611;0,223640856672158;1,09796483409571;0,269605041129562
"classe 2";-0,365874446733734;0,212235921554788;-1,29132342476789;-0,269256573796776;0,156189965122193;-0,950318679318864;0,122639025358763;0,028134650999144;0,849226323642093;0,0470288659345662;0,0158247964158456;0,585828380483196;0,351317957166392;0,759159333828344;0,202472581837029
"classe 3";-0,415462547875624;-1,42242368819764;0,658330601947687;-0,256219405574509;-0,877221192929774;0,405998269555313;0,0962708359840046;0,769357428738074;0,134371735277921;0,0475599287857526;0,557487825581103;0,119416825534299;0,275535420098847;0,972970585695266;0,260841601260403
"classe 4";2,38190712556131;0,0577741997722771;0,109022113356443;0,99866104170486;0,0242229606306125;0,0457096484262598;0,998436765591174;0,000400477398881308;0,00116275700994398;0,848218206092385;0,000499029041118491;0,00177699880389454;0,149505766062603;1,73212704928246;0,448556784881677
