"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"em";-0,0117777709953475;-0,133731306551842;-0,125816412052768;-0,064012888679572;-0,726837636990768;-0,683819712743479;NA;NA;NA;NA;NA;NA;NA;0,10562752075722;NA
"o";0,126319126593546;-0,215336014186699;-0,0140239987631125;0,505184396253878;-0,861187036771216;-0,0560857689509239;NA;NA;NA;NA;NA;NA;NA;0,158664715738864;NA
"que";0,0671581579600696;-0,267647908851956;-0,0234804811013965;0,242498868555469;-0,966439774992446;-0,0847847867359943;NA;NA;NA;NA;NA;NA;NA;0,168315148156742;NA
"por";-0,0322422907296272;-0,314029325443323;0,0282682392676324;-0,101728881607213;-0,99080590573119;0,0891902002192071;NA;NA;NA;NA;NA;NA;NA;0,19047815772135;NA
"não";-0,129695020644943;-0,0964248264281302;0,336896270418951;-0,347098832026907;-0,258058824966202;0,901625223506208;NA;NA;NA;NA;NA;NA;NA;0,213403575065023;NA
"ser";0,0964561102636956;-0,11110944880746;0,0808777631395365;0,574486555383473;-0,661760922573493;0,481702894986433;NA;NA;NA;NA;NA;NA;NA;0,10618958000654;NA
"se";-0,272852676222527;0,00612926892883072;0,04881322970732;-0,984131051119358;0,0221071823704744;0,176060633619065;NA;NA;NA;NA;NA;NA;NA;0,200053509019808;NA
"ao";0,299394886804697;-0,196407881973905;0,051595891247665;0,827589969062996;-0,542912388054727;0,142621814611307;NA;NA;NA;NA;NA;NA;NA;0,248989549963047;NA
"para";-0,24287343003119;-0,0350289333333289;0,198983206105588;-0,768768341155866;-0,110877237446947;0,629842421445707;NA;NA;NA;NA;NA;NA;NA;0,207865523023364;NA
"com";0,0151038873429193;-0,275323288062564;-0,434756059461539;0,0293379560897109;-0,534790968196745;-0,844474928383115;NA;NA;NA;NA;NA;NA;NA;0,287896029877571;NA
"como";0,0903046004429409;-0,212884148014699;-0,038641064325126;0,385173181358511;-0,908007611455275;-0,164814434748447;NA;NA;NA;NA;NA;NA;NA;0,145113236623631;NA
"4";0,172445715743361;-0,547775690961046;-0,0920621377342374;0,296496735892669;-0,941825105200122;-0,158288208088194;NA;NA;NA;NA;NA;NA;NA;0,35524874067631;NA
"3";0,610410261406756;0,055526823156833;-0,384551676470432;0,843600786107219;0,0767393253796018;-0,531459113779758;NA;NA;NA;NA;NA;NA;NA;0,49116732388044;NA
"ir";0,254943355057225;-0,396315400026081;0,0979028658703108;0,529700489030526;-0,82343178215813;0,203414581711115;NA;NA;NA;NA;NA;NA;NA;0,306056161090848;NA
"ter";1,25016076376666;0,252438787456589;-0,0704377719559896;0,978724618496838;0,197629027488315;-0,0551442530300532;NA;NA;NA;NA;NA;NA;NA;0,921738116854116;NA
"dever";-0,566230435921424;-0,629389484647067;0,031030917280222;-0,668372271717418;-0,742924528534159;0,0366285585519733;NA;NA;NA;NA;NA;NA;NA;0,558715837999066;NA
"sua";-0,320497489952842;-0,668735101870612;-0,485200183661956;-0,36165504724163;-0,754612539694893;-0,547508485541437;NA;NA;NA;NA;NA;NA;NA;0,533211515026941;NA
"poder";-0,150216290431586;0,0604940509898229;-0,643917006643041;-0,226240238105339;0,0911098820279228;-0,969801187903427;NA;NA;NA;NA;NA;NA;NA;0,367325863370103;NA
"164493";-0,321268277790947;0,0684140471576786;-1,89444473251294;-0,167091365405629;0,0355820893089862;-0,985299137585784;NA;NA;NA;NA;NA;NA;NA;1,05335480987832;NA
"1";0,0233460645107657;0,344309157072647;-0,394655659711913;0,0445315939834273;0,656754614057748;-0,752788359402;NA;NA;NA;NA;NA;NA;NA;0,297786533863003;NA
"tal";0,565982172855537;-0,294240454024105;-0,0359085146639552;0,885859451143529;-0,460536920784866;-0,0562030018208896;NA;NA;NA;NA;NA;NA;NA;0,447973122574293;NA
"2016";1,2384437219063;-0,674580121284282;0,0222529542115091;0,878064722382455;-0,478281730887585;0,0157774905038411;NA;NA;NA;NA;NA;NA;NA;0,986794614242166;NA
"já";-0,211140955655556;-0,575892507861294;-0,968583934659534;-0,184166557033828;-0,502319126410569;-0,84484210034327;NA;NA;NA;NA;NA;NA;NA;0,646745374388587;NA
"ainda";0,916057865784625;0,344699679697424;-0,420853488821529;0,85981757220208;0,323537248907763;-0,395015684627481;NA;NA;NA;NA;NA;NA;NA;0,733369291311708;NA
"2018";-0,555232246042192;-0,640818083112076;-0,284544654942791;-0,62080875113771;-0,716502826914411;-0,318151211744501;NA;NA;NA;NA;NA;NA;NA;0,578237043697221;NA
"seu";1,21278585196182;-0,414963964438661;0,621750096337681;0,85128893946085;-0,291275028175857;0,436424105100502;NA;NA;NA;NA;NA;NA;NA;0,975730465632754;NA
"qualquer";0,121096849818651;-0,263952695428815;-0,340001677488828;0,270823708107346;-0,590309721912769;-0,760387369267965;NA;NA;NA;NA;NA;NA;NA;0,258364552553669;NA
"2";-0,302395239298212;0,454090117541886;0,375066195087635;-0,456753202979477;0,685880889229363;0,566519123558885;NA;NA;NA;NA;NA;NA;NA;0,404717335239838;NA
"qual";-0,237526321874826;-0,02432766058392;-0,519105745711234;-0,41570241322793;-0,0425766169117671;-0,908503569243855;NA;NA;NA;NA;NA;NA;NA;0,330293217042434;NA
"5";-0,576613804329259;-0,424471285740725;0,215036296829019;-0,77129052416456;-0,567781551557897;0,287636988310729;NA;NA;NA;NA;NA;NA;NA;0,503964508894012;NA
"7";-0,546172458713008;-1,34909495812751;-0,134356922844203;-0,373669073951072;-0,922996126284831;-0,0919215645849507;NA;NA;NA;NA;NA;NA;NA;0,904418458985815;NA
"04";-0,558237988427975;-0,955359502295167;-0,011870599253527;-0,504479036478399;-0,863357297781843;-0,0107274470709246;NA;NA;NA;NA;NA;NA;NA;0,70223347082323;NA
"primeiro";0,0892379867491322;0,0242353397225488;1,03002319500427;0,0862898399244122;0,0234346791243901;0,99599441732379;NA;NA;NA;NA;NA;NA;NA;0,561971755622288;NA
"uma";-0,56367656211716;0,174336547955399;-0,515491421520365;-0,719443607956988;0,222512915187928;-0,657942928789725;NA;NA;NA;NA;NA;NA;NA;0,506651414860425;NA
"todo";-0,594142515368663;0,587681233633123;0,1346789861163;-0,701905420505917;0,694272220463368;0,159106456680037;NA;NA;NA;NA;NA;NA;NA;0,562167751411385;NA
"n";-0,539626082645437;-0,212304280119484;-0,993339380484336;-0,469152716268669;-0,184578049313759;-0,863612570849486;NA;NA;NA;NA;NA;NA;NA;0,677927851862715;NA
"haver";0,617288668208838;-0,268401021321731;-0,888374875058789;0,553829460013669;-0,240808555804303;-0,797047155864955;NA;NA;NA;NA;NA;NA;NA;0,677319323186218;NA
"2017";-0,513269268133165;-0,0354794760669303;-1,86945351823438;-0,264713882304684;-0,0182982119423845;-0,964153377816462;NA;NA;NA;NA;NA;NA;NA;1,0794988945349;NA
"um";-0,607791246275858;0,0427740707042883;0,854422759018894;-0,579169849269196;0,0407598040186132;0,814187278255968;NA;NA;NA;NA;NA;NA;NA;0,640294736548078;NA
"fazer";-0,0478904325353276;-0,359574771143445;-1,16077751153514;-0,0393791063054895;-0,295669351643138;-0,954478349930216;NA;NA;NA;NA;NA;NA;NA;0,665752683561825;NA
"sob";-0,627034648734219;0,237486188338504;1,30404561561352;-0,427623429622271;0,16196020196051;0,889329576377058;NA;NA;NA;NA;NA;NA;NA;0,852652072853832;NA
"assim";-0,0719446856082786;-0,116184624100675;-0,598748940791853;-0,117145916690742;-0,189180815519148;-0,974929460649434;NA;NA;NA;NA;NA;NA;NA;0,335878979843215;NA
"sobre";0,125343894766544;0,590279545867127;-0,360193637676202;0,178357858690287;0,839937166669542;-0,512536857494715;NA;NA;NA;NA;NA;NA;NA;0,414487854165279;NA
"quando";-0,594142515368663;0,587681233633123;0,1346789861163;-0,701905420505917;0,694272220463368;0,159106456680037;NA;NA;NA;NA;NA;NA;NA;0,562167751411385;NA
"excepto";0,576915609890125;0,280183940865103;-1,6450442463044;0,326744807292755;0,158686376646886;-0,931695478562552;NA;NA;NA;NA;NA;NA;NA;0,999136673760119;NA
"dizer";-0,503520174628026;0,353739926025094;-2,38355621316481;-0,204541009415381;0,143696966249955;-0,968253147352435;NA;NA;NA;NA;NA;NA;NA;1,35883199275157;NA
"também";-0,000541950814604497;0,205902699401954;-0,857879168240426;-0,000614287395728235;0,23338544676115;-0,972384109234151;NA;NA;NA;NA;NA;NA;NA;0,48090577221534;NA
"este";-0,0102910443197433;-0,183316702690071;-0,343776473310002;-0,0264052514477996;-0,470362723035437;-0,882078041601007;NA;NA;NA;NA;NA;NA;NA;0,21642595051486;NA
"diante";-0,189922222875352;0,639678102657327;-0,416336568528483;-0,241475292016825;0,813314283591362;-0,529348240246115;NA;NA;NA;NA;NA;NA;NA;0,466065512871696;NA
"8";-0,51716890553522;-0,19116723690374;-1,66381244026221;-0,295054320463725;-0,109064405411589;-0,949235430990598;NA;NA;NA;NA;NA;NA;NA;0,983302346408207;NA
"7000";-0,523018361638304;-0,424698878158955;-1,35535082330396;-0,345552878118658;-0,280594201744454;-0,895466416104649;NA;NA;NA;NA;NA;NA;NA;0,86517427109302;NA
"sem";0,906021335735051;-0,083369281327916;-0,964419398596406;0,683341271794186;-0,0628789505105486;-0,727386378649887;NA;NA;NA;NA;NA;NA;NA;0,841969739646406;NA
"outro";1,98542431848373;0,50662949004214;0,0890098038338513;0,968038400352163;0,247018633017537;0,0433987371449069;NA;NA;NA;NA;NA;NA;NA;1,47513806332545;NA
"mais";0,0625893581463597;0,959872660129151;-0,454014710514143;0,0588426153771074;0,902412477515808;-0,426836346905186;NA;NA;NA;NA;NA;NA;NA;0,627878797045728;NA
"então";-0,530817636442415;-0,736074399832574;-0,944068667359621;-0,405353313014953;-0,562095484613755;-0,720928122495321;NA;NA;NA;NA;NA;NA;NA;0,778074785513638;NA
"ele";1,637853207398;-0,571810848478938;0,12167311041685;0,941802890644122;-0,328804258871698;0,0699648091701081;NA;NA;NA;NA;NA;NA;NA;1,24033321696851;NA
"contra";-0,0789380250472367;0,808339476603137;-0,936400086176809;-0,0636827080109726;0,652122305206596;-0,755434319946098;NA;NA;NA;NA;NA;NA;NA;0,70417432110758;NA
"16";1,7517462419529;-0,345634805739722;-0,112937309855364;0,979128464574948;-0,193190582370146;-0,0631256583537066;NA;NA;NA;NA;NA;NA;NA;1,29110911933666;NA
"11";0,094661695576961;0,635352464072125;-1,20338613817186;0,0693949269366713;0,465766406935669;-0,882182519825513;NA;NA;NA;NA;NA;NA;NA;0,75834157993424;NA
"inclusive";0,995441192790191;-0,294145616127728;-0,629895686657648;0,819857509666111;-0,242261917694732;-0,518789771563543;NA;NA;NA;NA;NA;NA;NA;0,819019314390908;NA
"i";-0,569714339326613;-0,684007785239965;0,16517464674939;-0,629250245075967;-0,755487508011213;0,182435616892213;NA;NA;NA;NA;NA;NA;NA;0,589746403795741;NA
"essa";-0,613160619179876;-0,813576891623634;1,51433255182593;-0,335955657142127;-0,44576535203231;0,829715039855077;NA;NA;NA;NA;NA;NA;NA;1,05349390737415;NA
"entre";-0,551628680773928;0,840520220110634;-1,25949907167824;-0,342296115774077;0,521558824986752;-0,781543192155378;NA;NA;NA;NA;NA;NA;NA;0,938392053628889;NA
