"";"classe 1";"classe 2";"classe 3";"classe 4"
"examinar";0,561;0,209;0,19;0,479
"exame";0,012;0,752;0,314;0,274
"ex_presidente";0,214;0,073;0,09;0
"devido";0,214;0,073;0;0,313
"conhecer";0,564;0,621;0,856;0,274
"conclusão";1;0,029;0,123;0,358
"coercitivo";0,178;0,26;0,067;0
"assentar";0,062;0,966;0,09;0,857
"admitir";0,004;0,966;0,09;0,313
"acórdão";0,178;0;0,067;0,274
"áudio";0,214;0,073;0,09;0
"voltar";0,561;0,976;0,951;0,479
"verificar";0,001;0,499;0,123;0,358
"tratar";0,383;0,231;0,951;0,479
"súmula";0,024;0,499;0,569;0,358
"resposta";0,214;0,073;0;0,313
"respectivo";0,313;0,082;0,771;0,412
"recorrente";0,004;0,966;0,09;0,313
"questão";1;0,217;0,569;0,358
"prestar";0,313;0,146;0,771;0
"ponto";0,258;0,78;0,569;0,358
"pertencente";0,214;0,073;0,09;0
"ordinário";0,001;0,499;0,123;0,358
"ordenamento";0,214;0,406;0,328;0,313
"ofício";0,258;0,103;0,001;0,358
"obstante";0,258;0,103;0,001;0,358
"luz";0,214;0,073;0,006;0,857
"lei";0,214;0,073;0;0,313
"justiça";1;0,029;0,123;0,358
"jurisdição";0,383;0,231;0,234;0,337
"interceptar";0,214;0,073;0,09;0
"impedimento";0,258;0,499;0,123;0,093
"hipótese";0,383;0,976;0,19;0,479
"familiar";0,214;0,073;0,09;0
"escritório";0,258;0,103;0,123;0
"encontrar";0,214;0,406;0,931;0,857
"divulgação";0,214;0,073;0,09;0
"denúncia";0,258;0,217;0,123;0,358
"demonstrar";0,836;0,966;0,931;0,857
"constrangimento";0,836;0,359;0,062;0,313
"consideração";0,383;0,209;0,19;0,337
"conduta";0,313;0,146;0,771;0
"cautelar";0,042;0,209;0,234;0,337
"arguição";0,214;0,001;0,09;0,313
"adequado";0,383;0,231;0,951;0,479
"supremo";0,801;0,697;0,427;0,412
"suposto";0;0,209;0,234;0,479
"relação";0,258;0,217;0,569;0,704
"regional";1;0,217;0,569;0,358
"reconhecimento";0,258;0,499;0,687;0,358
"realizar";0,313;0,005;0,169;0,412
"princípio";0,13;0,146;0,169;0,038
"preventivo";0;0,146;0,169;0,412
"posterior";0,383;0,976;0,19;0,479
"possibilidade";0,13;0,146;0,427;0,412
"policial";0,801;0,146;0,169;0
"petição";0,258;0,499;0,019;0,358
"permitir";0,313;0,697;0,06;0,412
"pedir";0,13;0,697;0,169;0,529
"pedido";0,13;0,697;0,771;0,412
"partir";0,801;0,697;0,169;0,038
"parcial";0,258;0,103;0,001;0,358
"origem";0,801;0,5;0,771;0,412
"necessidade";0,005;0,697;0,169;0,412
"justificar";0,005;0,146;0,771;0,412
"jurisprudência";0;0,103;0,123;0,358
"integrar";0,801;0,5;0,771;0,412
"instrução";0,005;0,697;0,169;0,412
"incidente";0,313;0,005;0,169;0,412
"impossibilidade";0,258;0,002;0,123;0,358
"fático_probatório";0,005;0,697;0,169;0,412
"formular";0,258;0,499;0,687;0,358
"flagrante";0,258;0,78;0,169;0,358
"extraordinário";0,801;0,082;0,169;0,412
"estabelecer";0,024;0,499;0,569;0,358
"empresa";0,313;0,146;0,771;0
"elemento";0,258;0,499;0,687;0,358
"efeito";0,383;0,231;0,951;0,479
"diverso";0,561;0,231;0,234;0,479
"decorrência";0,258;0,499;0,123;0
"declaração";0,313;0,146;0,003;0,412
"decidir";0,383;0,231;0,234;0,337
"cumprir";0,258;0,78;0,169;0,358
"criminal";0,042;0,976;0,234;0,479
"controvertido";0,313;0,005;0,169;0,412
"contraditório";0,258;0,002;0,123;0,358
"conhecido";0;0,209;0,234;0,479
"confundir";0,313;0,005;0,169;0,412
"concluir";0,801;0,5;0,771;0,412
"cognitivo";0,13;0,5;0,169;0,412
