"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"ex_presidente";0,278935387510836;0,268094142623038;-1,47713658202739;0,182673472020907;0,175573591785718;-0,967369793040536;0,0717049338619643;0,0424408996104156;0,885854166527621;0,000298449769079631;0,000275701207391585;0,00836961198474923;0,00383587120771824;0,709405998229118;0,00193042853896012
"ato";-0,545427450837498;0,594114091662581;-0,795450096653183;-0,481492161754291;0,524471729253926;-0,702207023165232;0,370755963299037;0,281852563333756;0,347391473367207;0,00110655763478635;0,00131292452925558;0,00235356357090525;0,00371963268627223;0,610040516594445;0,00138425919102385
"dia";1,09600660307292;0,363929821366175;0,0476223334262958;0,948241943460301;0,314864454400064;0,0412018448371163;0,933292015497149;0,0659317522800233;0,000776232222826718;0,00418887762633767;0,000461856032359465;7,90847369858873e-06;0,00348715564338022;0,77262749021993;0,00208166885496994
"dever";-0,780938821615811;-0,966719992815617;0,339379181349984;-0,606200721580557;-0,750412632834226;0,263441768969952;0,484255243571715;0,475455447590074;0,0402893088382102;0,0029773740102849;0,00456247784138044;0,000562302174452978;0,0048820179007323;0,764267879777518;0,00285161297994934
"acordo";0,102036882136692;0,832596948630651;0,448295320995817;0,107282625257311;0,875400978154768;0,471342302115538;0,0191704338188913;0,817815489409234;0,163014076771876;3,6306609262503e-05;0,00241735794095922;0,000700809118307831;0,00348715564338022;0,501888182875066;0,000878385730941425
"mesmo";0,117484740662202;0,795228757892053;0,609771916389863;0,116440684865292;0,788161770384845;0,604353034750325;0,0236839051472518;0,695252665755158;0,281063429097591;6,41760515562707e-05;0,00294031745846118;0,00172880060452291;0,00464954085784029;0,519900897212983;0,00125675667986919
"julgar";-1,23187132250043;-0,603013170843721;-0,182616951276923;-0,890307103723646;-0,435814114538655;-0,131982266339464;0,859689666666115;0,131987478728998;0,00832285460488624;0,00458621188366533;0,00109894769144321;0,000100787251335072;0,00302220155759619;0,904815960503771;0,00247425200301539
"julgador";-0,985399457169141;-0,654109226257346;-0,257279330088104;-0,814111849556842;-0,54040832692397;-0,212557607726406;0,761990586600148;0,215126365137417;0,0228830482624344;0,00440189137712196;0,00193961365978431;0,000300071311627661;0,00453330233639428;0,768782124143987;0,00267929933996633
"judicial";-0,27680260157291;-0,00123044646137545;0,933549929002911;-0,284272400666929;-0,00126365130775404;0,95874272117416;0,166364679984436;2,10627153030814e-06;0,833633213744035;0,000347340175434582;6,86341291155917e-09;0,00395084311608883;0,00453330233639428;0,462173844417199;0,00096833451540992
"juízo";0,661484042806966;-0,281920481816038;-0,0155120739398949;0,919721082068531;-0,391979539661841;-0,0215678391402867;0,895557082368411;0,104225960776772;0,000216956854819459;0,00172928963410443;0,000314110353863904;9,50974182165528e-07;0,00395210972916425;0,476034574240359;0,000895583301133881
"telefônico";1,0434544268943;-0,0527490208216271;0,0369583737986879;0,998100397324123;-0,0504562703301058;0,0353519680612372;0,99781474425325;0,00163380368129671;0,000551452065454264;0,0046827262835286;1,196687089535e-05;5,87458927957815e-06;0,00430082529350227;0,711400700190359;0,00217660878537246
"sistema";-1,2515645269127;-1,0027871090123;0,324658939111032;-0,764885948333445;-0,612847162379613;0,198413310050768;0,693980499190014;0,285447590524549;0,0205719102854356;0,00582648384061822;0,00374039562385681;0,00039206203136469;0,00371963268627223;1,02316428685565;0,0038939538594326
"ex_juiz";-0,275478224554114;1,66016669335327;0,207784580385183;-0,162462086636968;0,979076097952657;0,122540053955272;0,040781936525966;0,948996930457982;0,0102211330160542;0,000326382114556435;0,0118537344693272;0,000185685688515207;0,00430082529350227;0,929007273066914;0,00371184668095028
