"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"273";273;0;0;0;0;0;0;0;0;1
"274";274;0;0;0;0;0;0;0;0;1
"275";275;0;0;0;0;0;3;3;3;3
"276";276;0;0;0;0;0;0;0;0;2
"277";277;0;0;0;0;0;3;3;3;3
"278";278;0;0;0;0;0;0;0;0;1
"279";279;0;0;0;0;0;0;0;0;2
"280";280;0;0;0;0;0;0;0;0;2
"281";281;0;0;0;0;0;0;0;0;0
"282";282;0;0;0;0;0;0;0;0;1
"283";283;0;0;0;0;0;3;3;3;3
"284";284;0;0;0;0;0;3;3;3;3
"285";285;0;0;0;0;0;3;3;3;3
"286";286;0;0;0;0;0;0;0;0;2
"287";287;0;0;0;0;0;0;0;0;2
"288";288;0;0;0;0;0;0;0;0;2
"289";289;0;0;0;0;0;0;0;0;1
"290";290;0;0;0;0;0;0;0;0;1
"291";291;0;0;0;0;0;0;0;0;1
"292";292;0;0;0;0;0;0;0;0;1
"293";293;0;0;0;0;0;0;0;0;0
"294";294;0;0;0;0;0;0;0;0;1
"295";295;0;0;0;0;0;3;3;3;3
"296";296;0;0;0;0;0;3;3;3;3
"297";297;0;0;0;0;0;3;3;3;3
"298";298;0;0;0;0;0;3;3;3;3
"299";299;0;0;0;0;0;3;3;3;3
"300";300;0;0;0;0;0;3;3;3;3
"301";301;0;0;0;0;0;3;3;3;3
"302";302;0;0;0;0;0;3;3;3;3
"303";303;0;0;0;0;0;0;0;0;1
"304";304;0;0;0;0;0;0;0;0;1
"305";305;0;0;0;0;0;0;0;0;2
"306";306;0;0;0;0;0;3;3;3;3
"307";307;0;0;0;0;0;3;3;3;3
"308";308;0;0;0;0;0;3;3;3;3
"309";309;0;0;0;0;0;0;0;0;1
"310";310;0;0;0;0;0;3;3;3;3
"311";311;0;0;0;0;0;0;0;0;1
"312";312;0;0;0;0;0;3;3;3;3
"313";313;0;0;0;0;0;3;3;3;3
"314";314;0;0;0;0;0;3;3;3;3
"315";315;0;0;0;0;0;0;0;0;2
"316";316;0;0;0;0;0;3;3;3;3
"317";317;0;0;0;0;0;3;3;3;3
