"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"classe 1";-0,179840584751501;1,45146509144009;0,877259554579391;-0,105448375216063;0,851057261555716;0,514375522082435;0,0187906675233928;0,784238406959639;0,196970925516963;0,00827457185495754;0,538993229871424;0,196891212570955;0,255840985702662;0,893474912688347;0,204237198715238
"classe 2";-0,377761221450438;0,797746962335122;-2,53726352135439;-0,140619237994778;0,296956287692785;-0,944480382594307;0,0421391435689408;0,120406351207549;0,837454505223513;0,0173672680265044;0,0774510084927253;0,783479991526801;0,12170173195397;1,25325741398808;0,191151329834331
"classe 3";-1,08789127985146;-0,974643215341956;0,24965655673962;-0,734163085148802;-0,657737664734751;0,168480648129299;0,650420426704979;0,334489607725371;0,0150899655696494;0,370336164105925;0,297246302138207;0,0195034340232175;0,312914099732651;0,918658653946881;0,264078761001193
"classe 4";1,3969014086582;-0,528042132979334;0,0201243621801486;0,935315466658779;-0,353558218899261;0,0134745566774223;0,916048983861807;0,0838672611751226;8,37549630718077e-05;0,604021996012614;0,0863094594976443;0,000125361879025829;0,309543182610717;0,993967461450868;0,305819784994615
