"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"151";0;0;0;0;0;0;0;0;0
"152";0;0;0;0;0;0;0;0;2
"153";0;0;0;0;0;0;0;0;2
"154";0;0;0;0;0;0;0;0;0
"155";0;0;0;0;0;0;0;0;0
"156";0;0;0;0;0;0;0;0;0
"157";0;0;0;0;0;0;0;0;0
"158";0;0;0;0;0;0;0;0;0
"159";0;0;0;0;0;0;0;0;0
"160";0;0;0;0;0;0;0;0;2
"161";0;0;0;0;0;0;0;0;0
"162";0;0;0;0;0;0;0;0;2
"163";0;0;0;0;0;0;0;0;2
"164";0;0;0;0;0;3;3;3;3
"165";0;0;0;0;0;0;0;0;1
"166";0;0;0;0;0;0;0;0;1
"167";0;0;0;0;0;3;3;3;3
"168";0;0;0;0;0;0;0;0;0
"169";0;0;0;0;0;0;0;0;0
"170";0;0;0;0;0;0;0;0;1
"171";0;0;0;0;0;0;0;0;2
"172";0;0;0;0;0;0;0;0;1
"173";0;0;0;0;0;0;0;0;1
"174";0;0;0;0;0;0;0;0;1
"175";0;0;0;0;0;0;0;0;2
"176";0;0;0;0;0;0;0;0;2
"177";0;0;0;0;0;0;0;0;0
"178";0;0;0;0;0;0;0;0;1
"179";0;0;0;0;0;0;0;0;0
"180";0;0;0;0;0;0;0;0;1
"181";0;0;0;0;0;0;0;0;2
"182";0;0;0;0;0;0;0;0;2
"183";0;0;0;0;0;0;0;0;1
"184";0;0;0;0;0;0;0;0;0
"185";0;0;0;0;0;0;0;0;1
"186";0;0;0;0;0;0;0;0;1
"187";0;0;0;0;0;0;0;0;1
"188";0;0;0;0;0;0;0;0;1
"189";0;0;0;0;0;0;0;0;2
"190";0;0;0;0;0;0;0;0;1
"191";0;0;0;0;0;3;3;3;3
"192";0;4;4;4;4;4;4;4;4
"193";0;0;0;0;0;3;3;3;3
"194";0;0;0;0;0;0;0;0;2
"195";0;0;0;0;0;0;0;0;0
"196";0;0;0;0;0;0;0;0;0
"197";0;0;0;0;0;3;3;3;3
"198";0;0;0;0;0;3;3;3;3
"199";0;0;0;0;0;0;0;0;1
"200";0;0;0;0;0;0;0;0;1
"201";0;0;0;0;0;3;3;3;3
"202";0;0;0;0;0;0;0;0;1
"203";0;0;0;0;0;0;0;0;1
"204";0;0;0;0;0;0;0;0;2
"205";0;0;0;0;0;0;0;0;2
"206";0;0;0;0;0;3;3;3;3
"207";0;0;0;0;0;0;0;0;2
"208";0;0;0;0;0;0;0;0;0
"209";0;0;0;0;0;0;0;0;2
"210";0;0;0;0;0;3;3;3;3
"211";0;4;4;4;4;4;4;4;4
"212";0;0;0;0;0;3;3;3;3
"213";0;0;0;0;0;0;0;0;0
"214";0;4;4;4;4;4;4;4;4
"215";0;0;0;0;0;0;0;0;0
"216";0;4;4;4;4;4;4;4;4
"217";0;0;0;0;0;0;0;0;2
"218";0;0;0;0;0;0;0;0;2
"219";0;0;0;0;0;0;0;0;0
"220";0;0;0;0;0;0;0;0;0
"221";0;0;0;0;0;3;3;3;3
"222";0;0;0;0;0;0;0;0;0
"223";0;0;0;0;0;3;3;3;3
"224";0;0;0;0;0;3;3;3;3
"225";0;0;0;0;0;3;3;3;3
"226";0;0;0;0;0;0;0;0;0
"227";0;0;0;0;0;3;3;3;3
"228";0;0;0;0;0;0;0;0;1
"229";0;0;0;0;0;0;0;0;1
"230";0;0;0;0;0;0;0;0;0
"231";0;0;0;0;0;0;0;0;0
"232";0;0;0;0;0;0;0;0;0
"233";0;0;0;0;0;3;3;3;3
"234";0;0;0;0;0;0;0;0;0
"235";0;0;0;0;0;0;0;0;0
"236";0;0;0;0;0;0;0;0;0
"237";0;0;0;0;0;0;0;0;0
"238";0;0;0;0;0;0;0;0;0
"239";0;0;0;0;0;3;3;3;3
"240";0;0;0;0;0;0;0;0;0
"241";0;0;0;0;0;0;0;0;0
"242";0;0;0;0;0;0;0;0;0
"243";0;0;0;0;0;0;0;0;0
