"";"x"
"639";2
"640";3
"641";1
"642";4
"643";4
"644";4
"645";4
"646";4
"647";4
"648";4
"649";4
"650";4
"651";1
"652";2
"653";1
"654";2
"655";2
"656";2
"657";3
"658";2
"659";3
"660";1
"661";3
"662";1
"663";3
"664";2
"665";0
"666";0
"667";0
"668";0
"669";2
"670";2
"671";2
"672";1
"673";4
"674";4
"675";2
"676";4
"677";4
"678";4
"679";4
"680";4
"681";4
"682";0
"683";4
"684";2
"685";4
"686";4
"687";4
"688";4
"689";2
"690";4
"691";1
"692";4
"693";1
"694";1
"695";4
"696";1
"697";1
"698";4
"699";1
"700";1
"701";1
"702";1
"703";4
"704";1
"705";1
"706";1
"707";4
"708";2
"709";4
"710";1
"711";4
"712";4
"713";0
"714";0
"715";0
"716";0
"717";1
"718";1
"719";0
"720";0
"721";3
"722";1
"723";1
"724";0
"725";0
"726";0
"727";0
"728";0
"729";3
"730";0
"731";0
"732";0
"733";0
"734";0
"735";3
"736";0
"737";0
"738";0
"739";0
"740";3
"741";0
"742";1
"743";3
"744";3
"745";4
"746";2
"747";3
"748";3
"749";3
"750";3
"751";1
"752";1
"753";1
"754";3
"755";1
"756";2
"757";0
"758";1
"759";0
"760";2
"761";0
"762";4
"763";4
"764";4
"765";3
"766";4
"767";0
"768";0
"769";4
"770";4
"771";1
"772";4
"773";4
"774";4
"775";4
"776";4
"777";4
"778";4
"779";2
"780";0
"781";0
"782";0
"783";0
"784";0
"785";0
"786";2
"787";2
"788";2
"789";2
"790";2
"791";0
"792";0
"793";0
"794";0
"795";0
"796";3
"797";2
"798";3
"799";4
"800";3
"801";1
"802";4
"803";2
"804";2
"805";3
"806";3
"807";3
"808";3
"809";3
"810";3
"811";3
"812";3
"813";0
"814";3
"815";1
"816";4
"817";1
"818";3
"819";1
"820";4
"821";3
"822";0
"823";3
"824";0
"825";2
"826";2
"827";3
"828";2
"829";2
"830";3
"831";3
"832";0
"833";1
"834";2
"835";3
"836";1
