"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,463800830331521;48,0479685848853;48,0479685848853
"facteur 2";0,297166358472714;30,7852830840682;78,8332516689535
"facteur 3";0,204319885741141;21,1667483310465;100
