magistrado	61
tratar	6
indicação	5
presente	8
sigilo	9
exigir	5
adequado	6
afirmar	4
regional	5
causa	15
atingir	5
decidir	5
judicial	18
acordo	9
impugnação	8
incidência	3
zavascki	3
jurisdição	6
relacionado	4
morar	4
indício	4
determinação	3
objeto	9
significar	3
sede	7
atuação	18
ordem	16
preventivo	5
reexame	3
vara	4
liberdade	3
proteção	5
flagrante	5
prestação	4
ilegal	7
origem	5
necessário	7
propósito	3
exercício	7
histórico	3
ordenamento	6
inviabilidade	7
deferimento	4
realizar	5
ato	26
caráter	4
parcialidade	17
rememoro	3
órgão	10
escorreito	4
investigação	4
consignar	3
elencados	4
captar	4
acusar	5
grave	3
doc	4
referido	12
eficiência	3
caber	6
inexistência	4
irresignação	3
relator	9
cumprimento	8
relacionar	4
motivar	3
jurisprudência	5
policial	5
bem	10
manifestação	4
sentido	14
acórdão	7
termo	8
justificar	5
resposta	6
concluir	5
excipiente	4
judiciário	10
atribuir	5
ofensa	4
declaração	5
medida	17
encontrar	6
arguição	6
ii	3
produzir	3
coação	3
aptar	4
recurso	16
campo	3
submeter	3
desembargador	5
destacar	8
expor	8
divulgação	6
liminar	3
específico	4
indicativo	10
negar	7
matéria	15
cognitivo	5
rejeitar	3
trf_4	9
conhecido	5
enfatizar	4
subjetivo	9
implicar	4
determinado	8
tocante	3
questão	6
impugnar	3
coercitivo	7
artigo	3
devido	7
cumprir	5
conteúdo	8
penal	42
condenar	3
regime	4
atividade	5
eventual	17
tese	4
impossibilidade	5
publicar	3
mérito	7
interrogatório	4
palestra	4
ver	9
vez	4
curitiba	4
dia	17
colaborador	3
substituto	3
cargo	3
excesso	5
exame	7
diálogo	3
garantia	11
prejudicar	4
palavra	3
parcial	5
seguinte	3
tribunal	17
incidente	5
só	8
eleito	6
gilmar	4
figura	3
conduzir	4
persecução	3
fático	7
imperioso	3
justiça	6
validade	3
sp	3
recorrente	6
cármen	3
anterior	8
turma	15
forma	9
perda	3
determinar	4
ed	3
imparcialidade	19
constante	3
ministro	22
registrar	3
voto	10
verificação	3
estrito	3
razão	15
princípio	5
ocasião	4
fase	3
ano	3
ramal	4
declinar	4
formular	5
procedimento	7
conhecimento	10
proferir	3
recursal	8
molde	3
prestar	6
teori	3
crime	8
telefone	3
antecipação	3
cautelar	6
proferido	18
constatação	3
coator	4
ressaltar	3
circunstância	8
federal	19
instruir	3
estar	21
episódio	4
alcançar	3
impedimento	6
regimental	18
nulidade	3
elaboração	25
verdadeiro	3
caso	13
prisão	10
advocacia	4
colegiado	3
pretensão	8
limite	10
argumento	11
consequência	3
oportunidade	3
processo	28
indeferir	3
áudio	6
exceção	15
pretérito	5
pressuposto	4
fatos_novos	5
acadêmico	4
idôneo	3
legal	10
pressupor	4
monocrático	3
jornalístico	4
ocupar	3
empresa	5
petição	5
condenatório	3
discutir	3
telefônico	13
posterior	5
julgar	23
ex_presidente	7
rogério	3
responsabilidade	4
reconhecimento	5
advogado	14
relevante	5
juiz	24
defesa	18
relação	5
pedir	5
registro	3
dilma	3
inviável	4
cpp	18
eminente	4
suspeição	51
garantido	3
inquérito	4
aplicar	3
desiderato	3
assentar	7
apto	4
reconhecer	7
decisão	38
perspectiva	3
passível	4
intenção	4
interceptação	17
reabertura	3
compreensão	4
via	24
conduta	6
vir	3
corte	16
condução	8
prever	12
visão	4
normativo	7
ponto	6
inicial	7
fundamento	8
respectivo	6
voltar	6
juízo	22
mendes	4
evento	3
sistema	4
plano	4
fundamentar	7
súmula	6
fundamental	11
entendimento	4
papel	4
pena	11
levantamento	3
afastar	3
respeito	18
soltura	5
pedido	5
observância	8
fossar	3
operação	11
salientar	4
titularizado	3
provimento	14
inimizade	4
analisar	3
base	6
suficiente	3
admitir	7
usurpação	3
natureza	3
norma	3
stf	29
conhecer	7
stj	11
manutenção	3
autorizado	4
direito	21
configurar	8
revelar	8
rhc	5
réu	3
retratar	3
sustentar	3
impetração	22
exarar	9
meio	9
pertencente	6
hipótese	6
art	35
pleito	7
impetrantes	10
demonstrar	6
adotado	4
are	4
tender	4
relatório	3
lava_jato	8
diligência	3
existência	3
ilegalidade	9
eleitoral	5
habeas_corpus	43
considerar	7
controvertido	5
contraditório	5
juntar	3
jurisdicional	29
pessoal	3
pr	36
chegar	3
conjunto	8
denúncia	6
impedir	4
colaboração	6
premiar	6
declarar	4
extraordinário	5
próprio	17
fato	30
suscitado	4
obediência	3
concreto	3
verificar	6
técnica	8
mandar	3
ocorrer	10
demonstração	3
revisão	3
permitir	5
pertinência	3
aforar	4
suposto	5
autoridade	13
condenação	4
instrução	5
integrar	5
estabelecer	5
impeditivo	3
prover	4
indicar	7
paciente	43
diverso	5
imprensa	3
subseção	4
independente	3
elemento	5
manter	3
agr	9
aceitação	4
apreciado	3
informação	9
consideração	6
noticiar	3
obstante	6
valer	3
capital	3
fachin	3
fático_probatório	5
público	8
lei	6
constatar	4
antecedente	4
sumário	3
preservação	3
presidente	8
fundamentação	3
alegação	14
reputado	3
julgamento	15
conferir	4
violação	3
abuso	3
suspeito	9
redução	3
favreto	3
decorrência	5
superior	7
criminal	5
auto	23
material	3
dar	8
importante	3
interceptar	6
modo	15
constitucional	11
especial	8
investigativo	4
agravo	23
prático	3
edson	3
contrário	5
jurídico	19
rel	9
praticar	11
constrangimento	6
examinar	7
efeito	5
eleger	3
probatório	7
prova	11
ofício	6
observar	4
denotar	3
necessidade	5
lils	4
writ	4
documento	4
autorização	8
escritório	6
supressão	13
desempenhar	4
julgador	10
debate	3
terminal	9
controlo	4
familiar	6
grau	7
partir	5
prévio	4
luz	6
favor	3
precedente	11
confundir	5
inadmissibilidade	3
agravar	3
incompetência	7
processual	20
quebra	12
cf	21
sérgio	4
interesse	13
decidido	4
intermédio	3
alegado	11
república	6
contexto	9
almejar	3
possibilidade	5
realização	3
mesmo	14
conclusão	7
possível	8
parte	15
paulo	3
responsável	3
constituir	4
momento	11
submetido	3
testemunha	4
amplo	4
competência	17
dimensão	3
análise	10
ordinário	6
motivo	3
sentença	5
revolvimento	3
ação	17
injusto	3
lúcia	3
indevido	3
mero	4
questionar	9
aprofundado	4
incursão	4
locomoção	4
instância	24
hc	41
originário	3
regra	3
estreito	3
inexistir	4
tema	7
supremo	5
convite	5
alcançado	3
ausência	10
